replay_file,player,hash_24,hash_72,hash_719
episode-103558339-replay.json,0,4ddb6e1f,a45403cd,b52637d4
episode-103558339-replay.json,1,91ef18fc,d978c51f,520c457e
episode-103560587-replay.json,0,1dda9539,7c12b784,901cfe59
episode-103560587-replay.json,1,4ddb6e1f,a45403cd,d3d5b3da
episode-103562846-replay.json,0,4ddb6e1f,a45403cd,9661a39d
episode-103562846-replay.json,1,fbfd61ed,70df629b,c7fe9f57
episode-103565071-replay.json,0,a9219253,f7a59c01,851cd996
episode-103565071-replay.json,1,4ddb6e1f,a45403cd,5003099d
episode-103567313-replay.json,0,4ddb6e1f,a45403cd,34b2d6fd
episode-103567313-replay.json,1,af0d9386,468b6640,278092d8
episode-103569571-replay.json,0,4ddb6e1f,a45403cd,024fc8fe
episode-103569571-replay.json,1,992b478f,e1347786,80722579
episode-103614224-replay.json,0,4ddb6e1f,a45403cd,1fab968f
episode-103614224-replay.json,1,e49ab216,274feb11,bf748a67
episode-103652122-replay.json,0,6d2e60b5,6ff45dab,1557d31c
episode-103652122-replay.json,1,4ddb6e1f,a45403cd,7229620b
episode-103766033-replay.json,0,6d2e60b5,6ff45dab,d3dd35a2
episode-103766033-replay.json,1,4ddb6e1f,a45403cd,0641306b
episode-103819550-replay.json,0,4ddb6e1f,a45403cd,2c72cec3
episode-103819550-replay.json,1,757a50e3,44f6a9dc,04f6083e
episode-103979994-replay.json,0,2c89042c,9c67e3f4,e9dd29cc
episode-103979994-replay.json,1,4ddb6e1f,a45403cd,7f5bb622
episode-103980259-replay.json,0,4b7be7f9,7ff72443,083843a9
episode-103980259-replay.json,1,4ddb6e1f,a45403cd,378295a0
episode-104100689-replay.json,0,08e7cc15,2a20d33b,f63377f1
episode-104100689-replay.json,1,4ddb6e1f,a45403cd,df76b77d
episode-104145292-replay.json,0,5f6e3270,1d7441b8,3571bb18
episode-104145292-replay.json,1,4ddb6e1f,a45403cd,a8636e3f
episode-104152294-replay.json,0,2d6bbf19,dafacba4,006632a0
episode-104152294-replay.json,1,4ddb6e1f,a45403cd,c9e772e7
episode-104326323-replay.json,0,4ddb6e1f,a45403cd,13be6eca
episode-104326323-replay.json,1,ad6095e6,7a08497b,cdb03774
episode-104459945-replay.json,0,4ddb6e1f,a45403cd,c8987d7b
episode-104459945-replay.json,1,e674930a,f4a2685a,127d3a00
episode-104499094-replay.json,0,ceab5b14,2aeb8025,0032d1a4
episode-104499094-replay.json,1,4ddb6e1f,a45403cd,ea94b283
episode-104531006-replay.json,0,78052647,900a4f55,856860c8
episode-104531006-replay.json,1,4ddb6e1f,a45403cd,3f9d79fb
episode-104572125-replay.json,0,4ddb6e1f,a45403cd,9a356139
episode-104572125-replay.json,1,9010a474,6141ba09,750e849c
episode-110091442-replay.json,0,8d0a5930,1967bca1,bb139820
episode-110091442-replay.json,1,2789192d,dc38a6df,6ddf2016
episode-110135509-replay.json,0,5b5394f5,3b8cba7e,0930e1ec
episode-110135509-replay.json,1,fc7ad00a,4da9d897,4f6a0c19
episode-110136652-replay.json,0,0b4ef50b,83ca5ddc,ccbb47e9
episode-110136652-replay.json,1,5b5394f5,3b8cba7e,421988cb
