seed,seat0_cash_a,seat0_cash_b,seat0_result,seat1_cash_b,seat1_cash_a,seat1_result,block_win_score,block_cash_delta,elapsed_s
10000,88266.0,75701.0,1.0,128000.0,141679.0,1.0,1.0,13122.0,20.4
10001,57643.0,44603.0,1.0,144561.0,150801.0,1.0,1.0,9640.0,21.7
10002,121739.0,114892.0,1.0,69662.0,78786.0,1.0,1.0,7985.5,23.3
10003,84608.0,76322.0,1.0,148121.0,153273.0,1.0,1.0,6719.0,23.4
10004,130221.0,115527.0,1.0,87927.0,98646.0,1.0,1.0,12706.5,23.1
10005,84527.0,74878.0,1.0,55867.0,63128.0,1.0,1.0,8455.0,23.2
10006,79681.0,64056.0,1.0,99975.0,118459.0,1.0,1.0,17054.5,24.2
10007,54598.0,35149.0,1.0,71036.0,89420.0,1.0,1.0,18916.5,23.3
10008,95052.0,75551.0,1.0,91770.0,105531.0,1.0,1.0,16631.0,23.2
10009,99313.0,82269.0,1.0,74175.0,86245.0,1.0,1.0,14557.0,22.1
10010,124248.0,110013.0,1.0,87808.0,100831.0,1.0,1.0,13629.0,21.5
10011,68863.0,57342.0,1.0,97793.0,116708.0,1.0,1.0,15218.0,22.2
10012,85389.0,75288.0,1.0,126888.0,137846.0,1.0,1.0,10529.5,21.9
10013,110394.0,97673.0,1.0,114781.0,121568.0,1.0,1.0,9754.0,21.7
10014,100683.0,88291.0,1.0,58675.0,76475.0,1.0,1.0,15096.0,21.9
10015,112693.0,101425.0,1.0,77277.0,91931.0,1.0,1.0,12961.0,16.8
