seed,seat0_cash_a,seat0_cash_b,seat0_result,seat1_cash_b,seat1_cash_a,seat1_result,block_win_score,block_cash_delta,elapsed_s
10000,63889.0,54792.0,1.0,87798.0,102678.0,1.0,1.0,11988.5,17.8
10001,121145.0,104600.0,1.0,54062.0,64913.0,1.0,1.0,13698.0,20.6
10002,37695.0,31764.0,1.0,61741.0,73134.0,1.0,1.0,8662.0,22.1
10003,143340.0,120368.0,1.0,104739.0,128087.0,1.0,1.0,23160.0,22.8
10004,155179.0,127481.0,1.0,62394.0,74540.0,1.0,1.0,19922.0,22.8
10005,106134.0,91507.0,1.0,54901.0,64363.0,1.0,1.0,12044.5,22.4
10006,106449.0,97410.0,1.0,85963.0,109296.0,1.0,1.0,16186.0,23.5
10007,107972.0,98597.0,1.0,42221.0,48290.0,1.0,1.0,7722.0,23.0
10008,54815.0,47137.0,1.0,118566.0,141899.0,1.0,1.0,15505.5,22.9
10009,116593.0,98193.0,1.0,65893.0,76118.0,1.0,1.0,14312.5,22.0
10010,51400.0,43678.0,1.0,112504.0,133426.0,1.0,1.0,14322.0,21.0
10011,58515.0,50858.0,1.0,78681.0,94167.0,1.0,1.0,11571.5,21.0
10012,69179.0,57403.0,1.0,74777.0,90032.0,1.0,1.0,13515.5,22.5
10013,36566.0,32382.0,1.0,107703.0,127021.0,1.0,1.0,11751.0,21.2
10014,120993.0,102696.0,1.0,117767.0,143409.0,1.0,1.0,21969.5,21.2
10015,85134.0,73523.0,1.0,55977.0,65365.0,1.0,1.0,10499.5,21.1
