seed,seat0_cash_a,seat0_cash_b,seat0_result,seat1_cash_b,seat1_cash_a,seat1_result,block_win_score,block_cash_delta,elapsed_s
10000,77062.0,66607.0,1.0,91134.0,110859.0,1.0,1.0,15090.0,16.9
10001,38331.0,34272.0,1.0,88158.0,105245.0,1.0,1.0,10573.0,16.3
10002,86372.0,75723.0,1.0,110322.0,133555.0,1.0,1.0,16941.0,17.4
10003,79123.0,67684.0,1.0,52400.0,62091.0,1.0,1.0,10565.0,16.6
10004,68597.0,56492.0,1.0,89488.0,105538.0,1.0,1.0,14077.5,17.0
10005,97643.0,84455.0,1.0,48813.0,56055.0,1.0,1.0,10215.0,16.4
10006,112700.0,96154.0,1.0,70315.0,81359.0,1.0,1.0,13795.0,16.0
10007,128262.0,106839.0,1.0,97496.0,113066.0,1.0,1.0,18496.5,16.0
10008,84642.0,73327.0,1.0,54702.0,64371.0,1.0,1.0,10492.0,16.9
10009,66675.0,57784.0,1.0,107522.0,117066.0,1.0,1.0,9217.5,21.3
10010,136220.0,119151.0,1.0,55007.0,64496.0,1.0,1.0,13279.0,19.7
10011,76724.0,64328.0,1.0,84169.0,98350.0,1.0,1.0,13288.5,20.9
10012,60521.0,52090.0,1.0,60771.0,71630.0,1.0,1.0,9645.0,15.7
10013,47587.0,41009.0,1.0,88856.0,105238.0,1.0,1.0,11480.0,18.2
10014,51386.0,43817.0,1.0,78754.0,90100.0,1.0,1.0,9457.5,14.5
10015,79688.0,66994.0,1.0,132249.0,149973.0,1.0,1.0,15209.0,15.2
10016,126243.0,111346.0,1.0,67244.0,81328.0,1.0,1.0,14490.5,14.9
10017,79726.0,67934.0,1.0,95488.0,114552.0,1.0,1.0,15428.0,14.4
10018,132800.0,115437.0,1.0,94089.0,112454.0,1.0,1.0,17864.0,13.9
10019,75994.0,64246.0,1.0,94973.0,111764.0,1.0,1.0,14269.5,14.2
10020,63668.0,53977.0,1.0,118094.0,139796.0,1.0,1.0,15696.5,14.2
10021,97368.0,81406.0,1.0,106865.0,125774.0,1.0,1.0,17435.5,16.4
10022,70207.0,58713.0,1.0,78660.0,94047.0,1.0,1.0,13440.5,15.5
10023,81368.0,71160.0,1.0,43932.0,50495.0,1.0,1.0,8385.5,15.1
10024,59681.0,51121.0,1.0,75081.0,87954.0,1.0,1.0,10716.5,14.8
10025,98675.0,83822.0,1.0,33784.0,37795.0,1.0,1.0,9432.0,15.9
10026,97266.0,83230.0,1.0,93984.0,108879.0,1.0,1.0,14465.5,15.2
10027,113465.0,102638.0,1.0,114459.0,123153.0,1.0,1.0,9760.5,14.9
10028,108028.0,90778.0,1.0,62047.0,73098.0,1.0,1.0,14150.5,15.0
10029,109738.0,92120.0,1.0,115900.0,138331.0,1.0,1.0,20024.5,14.8
10030,87994.0,76962.0,1.0,71496.0,82330.0,1.0,1.0,10933.0,15.9
10031,93265.0,80121.0,1.0,106822.0,124389.0,1.0,1.0,15355.5,16.1
