variant,seed,cand_is_p0,cand_score,v025_score,won,delta
V025_A_Baseline,42,True,21681.0,25730.0,0,-4049.0
V025_A_Baseline,42,False,25730.0,21681.0,1,4049.0
V025_A_Baseline,101,True,68821.0,68714.0,1,107.0
V025_A_Baseline,101,False,68714.0,68821.0,0,-107.0
V025_A_Baseline,202,True,61585.0,63891.0,0,-2306.0
V025_A_Baseline,202,False,63891.0,61585.0,1,2306.0
V025_A_Baseline,303,True,53171.0,57378.0,0,-4207.0
V025_A_Baseline,303,False,57378.0,53171.0,1,4207.0
V025_A_Baseline,404,True,87839.0,83411.0,1,4428.0
V025_A_Baseline,404,False,83411.0,87839.0,0,-4428.0
V025_A_Baseline,505,True,46980.0,47620.0,0,-640.0
V025_A_Baseline,505,False,47620.0,46980.0,1,640.0
V025_A_Baseline,606,True,38514.0,35453.0,1,3061.0
V025_A_Baseline,606,False,35453.0,38514.0,0,-3061.0
V025_A_Baseline,707,True,35717.0,36368.0,0,-651.0
V025_A_Baseline,707,False,36368.0,35717.0,1,651.0
V025_A_Baseline,808,True,93609.0,93318.0,1,291.0
V025_A_Baseline,808,False,93318.0,93609.0,0,-291.0
V025_A_Baseline,909,True,69489.0,62063.0,1,7426.0
V025_A_Baseline,909,False,62063.0,69489.0,0,-7426.0
Current_V026,42,True,85442.0,80149.0,1,5293.0
Current_V026,42,False,43987.0,29170.0,1,14817.0
Current_V026,101,True,56395.0,52844.0,1,3551.0
Current_V026,101,False,57328.0,55019.0,1,2309.0
Current_V026,202,True,63003.0,63032.0,0,-29.0
Current_V026,202,False,68472.0,66504.0,1,1968.0
Current_V026,303,True,51219.0,38978.0,1,12241.0
Current_V026,303,False,53451.0,41528.0,1,11923.0
Current_V026,404,True,51325.0,49019.0,1,2306.0
Current_V026,404,False,54475.0,51996.0,1,2479.0
Current_V026,505,True,51502.0,46989.0,1,4513.0
Current_V026,505,False,53274.0,47659.0,1,5615.0
Current_V026,606,True,44843.0,38844.0,1,5999.0
Current_V026,606,False,46954.0,44902.0,1,2052.0
Current_V026,707,True,48335.0,40670.0,1,7665.0
Current_V026,707,False,37779.0,28225.0,1,9554.0
Current_V026,808,True,49931.0,40212.0,1,9719.0
Current_V026,808,False,56153.0,44594.0,1,11559.0
Current_V026,909,True,81129.0,82043.0,0,-914.0
Current_V026,909,False,62335.0,62538.0,0,-203.0
GM_Opening,42,True,85442.0,80149.0,1,5293.0
GM_Opening,42,False,43987.0,29170.0,1,14817.0
GM_Opening,101,True,56395.0,52844.0,1,3551.0
GM_Opening,101,False,57328.0,55019.0,1,2309.0
GM_Opening,202,True,63003.0,63032.0,0,-29.0
GM_Opening,202,False,68472.0,66504.0,1,1968.0
GM_Opening,303,True,51219.0,38978.0,1,12241.0
GM_Opening,303,False,53451.0,41528.0,1,11923.0
GM_Opening,404,True,51325.0,49019.0,1,2306.0
GM_Opening,404,False,54475.0,51996.0,1,2479.0
GM_Opening,505,True,51502.0,46989.0,1,4513.0
GM_Opening,505,False,53274.0,47659.0,1,5615.0
GM_Opening,606,True,44843.0,38844.0,1,5999.0
GM_Opening,606,False,46954.0,44902.0,1,2052.0
GM_Opening,707,True,48335.0,40670.0,1,7665.0
GM_Opening,707,False,37779.0,28225.0,1,9554.0
GM_Opening,808,True,49931.0,40212.0,1,9719.0
GM_Opening,808,False,56153.0,44594.0,1,11559.0
GM_Opening,909,True,81129.0,82043.0,0,-914.0
GM_Opening,909,False,62335.0,62538.0,0,-203.0
GM_1Cow,42,True,31901.0,24829.0,1,7072.0
GM_1Cow,42,False,47065.0,31965.0,1,15100.0
GM_1Cow,101,True,74203.0,74603.0,0,-400.0
GM_1Cow,101,False,55865.0,59005.0,0,-3140.0
GM_1Cow,202,True,57254.0,49033.0,1,8221.0
GM_1Cow,202,False,85232.0,88569.0,0,-3337.0
GM_1Cow,303,True,70882.0,72621.0,0,-1739.0
GM_1Cow,303,False,80104.0,84202.0,0,-4098.0
GM_1Cow,404,True,44627.0,44323.0,1,304.0
GM_1Cow,404,False,47399.0,42904.0,1,4495.0
GM_1Cow,505,True,56262.0,63703.0,0,-7441.0
GM_1Cow,505,False,55853.0,63361.0,0,-7508.0
GM_1Cow,606,True,57246.0,50466.0,1,6780.0
GM_1Cow,606,False,66552.0,76349.0,0,-9797.0
GM_1Cow,707,True,42936.0,29125.0,1,13811.0
GM_1Cow,707,False,39102.0,19821.0,1,19281.0
GM_1Cow,808,True,88250.0,97965.0,0,-9715.0
GM_1Cow,808,False,81038.0,89245.0,0,-8207.0
GM_1Cow,909,True,31240.0,22601.0,1,8639.0
GM_1Cow,909,False,42028.0,44784.0,0,-2756.0
GM_3Cows,42,True,14746.0,59408.0,0,-44662.0
GM_3Cows,42,False,5790.0,63753.0,0,-57963.0
GM_3Cows,101,True,6673.0,119190.0,0,-112517.0
GM_3Cows,101,False,36047.0,89086.0,0,-53039.0
GM_3Cows,202,True,5855.0,116031.0,0,-110176.0
GM_3Cows,202,False,2380.0,111372.0,0,-108992.0
GM_3Cows,303,True,11778.0,53221.0,0,-41443.0
GM_3Cows,303,False,3478.0,98366.0,0,-94888.0
GM_3Cows,404,True,4523.0,59779.0,0,-55256.0
GM_3Cows,404,False,2201.0,87382.0,0,-85181.0
GM_3Cows,505,True,33324.0,73213.0,0,-39889.0
GM_3Cows,505,False,31595.0,74987.0,0,-43392.0
GM_3Cows,606,True,32723.0,77171.0,0,-44448.0
GM_3Cows,606,False,16739.0,42005.0,0,-25266.0
GM_3Cows,707,True,6558.0,70841.0,0,-64283.0
GM_3Cows,707,False,3807.0,95317.0,0,-91510.0
GM_3Cows,808,True,29638.0,84936.0,0,-55298.0
GM_3Cows,808,False,9886.0,71198.0,0,-61312.0
GM_3Cows,909,True,3494.0,102527.0,0,-99033.0
GM_3Cows,909,False,4784.0,106394.0,0,-101610.0
GM_1Sheep,42,True,38354.0,37610.0,1,744.0
GM_1Sheep,42,False,44332.0,37634.0,1,6698.0
GM_1Sheep,101,True,40679.0,52510.0,0,-11831.0
GM_1Sheep,101,False,38507.0,49461.0,0,-10954.0
GM_1Sheep,202,True,66685.0,60460.0,1,6225.0
GM_1Sheep,202,False,70710.0,69216.0,1,1494.0
GM_1Sheep,303,True,80352.0,90370.0,0,-10018.0
GM_1Sheep,303,False,89910.0,87595.0,1,2315.0
GM_1Sheep,404,True,34431.0,42792.0,0,-8361.0
GM_1Sheep,404,False,40039.0,53281.0,0,-13242.0
GM_1Sheep,505,True,32474.0,48108.0,0,-15634.0
GM_1Sheep,505,False,47800.0,60255.0,0,-12455.0
GM_1Sheep,606,True,44529.0,36051.0,1,8478.0
GM_1Sheep,606,False,39033.0,48192.0,0,-9159.0
GM_1Sheep,707,True,39478.0,37942.0,1,1536.0
GM_1Sheep,707,False,44839.0,38165.0,1,6674.0
GM_1Sheep,808,True,80120.0,79274.0,1,846.0
GM_1Sheep,808,False,75096.0,79361.0,0,-4265.0
GM_1Sheep,909,True,34620.0,31268.0,1,3352.0
GM_1Sheep,909,False,34870.0,31011.0,1,3859.0
GM_9Melons,42,True,44535.0,27982.0,1,16553.0
GM_9Melons,42,False,46092.0,30201.0,1,15891.0
GM_9Melons,101,True,41374.0,21626.0,1,19748.0
GM_9Melons,101,False,43510.0,34357.0,1,9153.0
GM_9Melons,202,True,63182.0,58745.0,1,4437.0
GM_9Melons,202,False,93316.0,90415.0,1,2901.0
GM_9Melons,303,True,56978.0,45573.0,1,11405.0
GM_9Melons,303,False,67785.0,53065.0,1,14720.0
GM_9Melons,404,True,23753.0,29624.0,0,-5871.0
GM_9Melons,404,False,43225.0,44085.0,0,-860.0
GM_9Melons,505,True,99246.0,80605.0,1,18641.0
GM_9Melons,505,False,94578.0,79237.0,1,15341.0
GM_9Melons,606,True,96404.0,91129.0,1,5275.0
GM_9Melons,606,False,84647.0,72630.0,1,12017.0
GM_9Melons,707,True,39802.0,23871.0,1,15931.0
GM_9Melons,707,False,41256.0,22414.0,1,18842.0
GM_9Melons,808,True,64539.0,53506.0,1,11033.0
GM_9Melons,808,False,83401.0,70297.0,1,13104.0
GM_9Melons,909,True,40068.0,43215.0,0,-3147.0
GM_9Melons,909,False,39404.0,36850.0,1,2554.0
GM_10Melons,42,True,42104.0,24051.0,1,18053.0
GM_10Melons,42,False,38305.0,38815.0,0,-510.0
GM_10Melons,101,True,38898.0,27440.0,1,11458.0
GM_10Melons,101,False,38810.0,29001.0,1,9809.0
GM_10Melons,202,True,51285.0,53073.0,0,-1788.0
GM_10Melons,202,False,59955.0,55678.0,1,4277.0
GM_10Melons,303,True,63459.0,56665.0,1,6794.0
GM_10Melons,303,False,63324.0,51974.0,1,11350.0
GM_10Melons,404,True,24649.0,28556.0,0,-3907.0
GM_10Melons,404,False,51411.0,58060.0,0,-6649.0
GM_10Melons,505,True,99620.0,81606.0,1,18014.0
GM_10Melons,505,False,95888.0,83284.0,1,12604.0
GM_10Melons,606,True,63430.0,59340.0,1,4090.0
GM_10Melons,606,False,61725.0,49397.0,1,12328.0
GM_10Melons,707,True,38584.0,22979.0,1,15605.0
GM_10Melons,707,False,40308.0,36228.0,1,4080.0
GM_10Melons,808,True,93428.0,96276.0,0,-2848.0
GM_10Melons,808,False,76417.0,74944.0,1,1473.0
GM_10Melons,909,True,36267.0,36046.0,1,221.0
GM_10Melons,909,False,45009.0,41683.0,1,3326.0
GM_12Melons,42,True,90310.0,88132.0,1,2178.0
GM_12Melons,42,False,79729.0,72973.0,1,6756.0
GM_12Melons,101,True,60017.0,67863.0,0,-7846.0
GM_12Melons,101,False,60862.0,68134.0,0,-7272.0
GM_12Melons,202,True,54168.0,56749.0,0,-2581.0
GM_12Melons,202,False,73809.0,78351.0,0,-4542.0
GM_12Melons,303,True,51266.0,47949.0,1,3317.0
GM_12Melons,303,False,57311.0,46862.0,1,10449.0
GM_12Melons,404,True,48242.0,43768.0,1,4474.0
GM_12Melons,404,False,37543.0,42502.0,0,-4959.0
GM_12Melons,505,True,53519.0,61110.0,0,-7591.0
GM_12Melons,505,False,55412.0,66126.0,0,-10714.0
