Variant,Matches,Win Rate (%),Cand Mean ($),V025 Mean ($),Paired Delta ($),Delta Std ($),Min Delta ($),Max Delta ($)
GM_9Melons,20,85.0,60354.75,50471.35,9883.4,7713.526597375616,-5871.0,19748.0
GM_10Melons,20,75.0,56143.8,50254.8,5889.0,7432.638774883032,-6649.0,18053.0
GM_Opening,20,85.0,55866.6,50245.75,5620.85,4656.79788645193,-914.0,14817.0
Current_V026,20,85.0,55866.6,50245.75,5620.85,4656.79788645193,-914.0,14817.0
GM_4Hires,20,65.0,58530.25,53707.3,4822.95,6868.007636287635,-3412.0,20750.0
GM_6Hires,20,50.0,51265.0,48329.3,2935.7,6197.881523468109,-4093.0,16155.0
GM_3Wheat,20,55.00000000000001,50048.4,48335.75,1712.65,5204.626547854474,-3726.0,18244.0
GM_7Wheat,20,60.0,63502.95,62049.75,1453.2,4982.21875747828,-7475.0,11569.0
GM_1Cow,20,45.0,57751.95,56473.7,1278.25,8688.627369486476,-9797.0,19281.0
V025_A_Baseline,20,50.0,57567.6,57567.6,0.0,3619.578312164932,-7426.0,7426.0
GM_12Melons,20,50.0,59279.4,60145.25,-865.85,6115.394158446199,-10714.0,10449.0
GM_1Sheep,20,55.00000000000001,50842.9,53527.8,-2684.9,7948.560928342875,-15634.0,8478.0
GM_13Melons,20,0.0,32582.75,71125.25,-38542.5,12258.508561725392,-62553.0,-13658.0
GM_3Cows,20,0.0,13300.95,82808.85,-69507.9,27902.533629347032,-112517.0,-25266.0
