target_cows,seed,cand_is_p0,cand_score,v025_score,won,delta,milk_price_final
0,42,True,49592.0,90027.0,0,-40435.0,280
0,42,False,37528.0,70576.0,0,-33048.0,141
0,101,True,45036.0,82316.0,0,-37280.0,248
0,101,False,44724.0,71481.0,0,-26757.0,147
0,202,True,52342.0,98210.0,0,-45868.0,244
0,202,False,50977.0,96647.0,0,-45670.0,214
0,303,True,49740.0,90536.0,0,-40796.0,270
0,303,False,55024.0,108693.0,0,-53669.0,300
0,404,True,43902.0,88026.0,0,-44124.0,240
0,404,False,39060.0,74638.0,0,-35578.0,214
0,505,True,57147.0,122414.0,0,-65267.0,334
0,505,False,57503.0,121559.0,0,-64056.0,334
0,606,True,52075.0,93634.0,0,-41559.0,240
0,606,False,51122.0,104466.0,0,-53344.0,302
0,707,True,46248.0,93629.0,0,-47381.0,305
0,707,False,50779.0,92691.0,0,-41912.0,212
0,808,True,49860.0,84188.0,0,-34328.0,208
0,808,False,51713.0,75736.0,0,-24023.0,34
0,909,True,57415.0,100979.0,0,-43564.0,252
0,909,False,55897.0,90359.0,0,-34462.0,129
2,42,True,66513.0,102107.0,0,-35594.0,311
2,42,False,58307.0,82549.0,0,-24242.0,272
2,101,True,53584.0,49271.0,1,4313.0,5
2,101,False,53361.0,48667.0,1,4694.0,5
2,202,True,58698.0,72288.0,0,-13590.0,103
2,202,False,58400.0,71699.0,0,-13299.0,190
2,303,True,60088.0,42790.0,1,17298.0,5
2,303,False,65466.0,86553.0,0,-21087.0,238
2,404,True,61458.0,65561.0,0,-4103.0,9
2,404,False,58066.0,76768.0,0,-18702.0,216
2,505,True,35331.0,35734.0,0,-403.0,11
2,505,False,34923.0,34464.0,1,459.0,1
2,606,True,60456.0,70747.0,0,-10291.0,72
2,606,False,52144.0,48367.0,1,3777.0,9
2,707,True,48951.0,48232.0,1,719.0,135
2,707,False,50649.0,34972.0,1,15677.0,1
2,808,True,60922.0,68021.0,0,-7099.0,208
2,808,False,62770.0,79934.0,0,-17164.0,190
2,909,True,64550.0,80391.0,0,-15841.0,147
2,909,False,60521.0,83986.0,0,-23465.0,190
4,42,True,74203.0,89560.0,0,-15357.0,300
4,42,False,50590.0,59991.0,0,-9401.0,214
4,101,True,75455.0,91187.0,0,-15732.0,220
4,101,False,60915.0,66878.0,0,-5963.0,103
4,202,True,70131.0,82009.0,0,-11878.0,214
4,202,False,78150.0,89740.0,0,-11590.0,190
4,303,True,62598.0,43429.0,1,19169.0,5
4,303,False,65299.0,62075.0,1,3224.0,160
4,404,True,60467.0,50363.0,1,10104.0,15
4,404,False,63246.0,60135.0,1,3111.0,135
4,505,True,70197.0,71783.0,0,-1586.0,122
4,505,False,69244.0,68193.0,1,1051.0,53
4,606,True,73626.0,77802.0,0,-4176.0,141
4,606,False,69082.0,72407.0,0,-3325.0,78
4,707,True,31985.0,17033.0,1,14952.0,1
4,707,False,54817.0,30718.0,1,24099.0,3
4,808,True,63592.0,52682.0,1,10910.0,34
4,808,False,61297.0,49158.0,1,12139.0,110
4,909,True,59985.0,54694.0,1,5291.0,13
4,909,False,74807.0,86336.0,0,-11529.0,268
6,42,True,77734.0,75154.0,1,2580.0,252
6,42,False,44730.0,44211.0,1,519.0,32
6,101,True,82287.0,90115.0,0,-7828.0,241
6,101,False,66856.0,60972.0,1,5884.0,78
6,202,True,61652.0,53536.0,1,8116.0,9
6,202,False,60209.0,52186.0,1,8023.0,22
6,303,True,70222.0,57241.0,1,12981.0,122
6,303,False,59106.0,36795.0,1,22311.0,5
6,404,True,58818.0,54643.0,1,4175.0,30
6,404,False,58350.0,51618.0,1,6732.0,26
6,505,True,57365.0,49493.0,1,7872.0,32
6,505,False,63720.0,53849.0,1,9871.0,32
6,606,True,54208.0,57904.0,0,-3696.0,15
6,606,False,50131.0,55891.0,0,-5760.0,22
6,707,True,46583.0,28107.0,1,18476.0,22
6,707,False,57106.0,35354.0,1,21752.0,17
6,808,True,52839.0,39883.0,1,12956.0,32
6,808,False,57116.0,46366.0,1,10750.0,22
6,909,True,66912.0,69806.0,0,-2894.0,101
6,909,False,79238.0,92837.0,0,-13599.0,175
8,42,True,86373.0,84943.0,1,1430.0,272
8,42,False,60345.0,59907.0,1,438.0,45
8,101,True,59597.0,55785.0,1,3812.0,36
8,101,False,67514.0,65572.0,1,1942.0,59
8,202,True,72443.0,71413.0,1,1030.0,28
8,202,False,62398.0,54512.0,1,7886.0,22
8,303,True,44363.0,41890.0,1,2473.0,38
8,303,False,50252.0,52247.0,0,-1995.0,5
8,404,True,49735.0,46936.0,1,2799.0,19
8,404,False,55151.0,52050.0,1,3101.0,36
8,505,True,40034.0,39103.0,1,931.0,32
8,505,False,46859.0,45159.0,1,1700.0,13
8,606,True,66780.0,69116.0,0,-2336.0,160
8,606,False,75303.0,82600.0,0,-7297.0,245
8,707,True,39778.0,27535.0,1,12243.0,32
8,707,False,55087.0,42498.0,1,12589.0,34
8,808,True,42809.0,35658.0,1,7151.0,22
8,808,False,57111.0,53363.0,1,3748.0,32
8,909,True,85593.0,83187.0,1,2406.0,237
8,909,False,75638.0,83588.0,0,-7950.0,175
9,42,True,84735.0,85394.0,0,-659.0,268
9,42,False,37603.0,39397.0,0,-1794.0,32
9,101,True,53733.0,52645.0,1,1088.0,36
9,101,False,48787.0,47433.0,1,1354.0,32
9,202,True,76139.0,75753.0,1,386.0,105
9,202,False,68700.0,64857.0,1,3843.0,32
9,303,True,40510.0,37330.0,1,3180.0,45
9,303,False,51821.0,53299.0,0,-1478.0,5
9,404,True,43994.0,39493.0,1,4501.0,22
9,404,False,51610.0,54343.0,0,-2733.0,26
9,505,True,48558.0,44306.0,1,4252.0,22
9,505,False,38755.0,37562.0,1,1193.0,5
9,606,True,52171.0,59251.0,0,-7080.0,26
9,606,False,53396.0,55716.0,0,-2320.0,32
9,707,True,52147.0,47869.0,1,4278.0,42
9,707,False,57659.0,43413.0,1,14246.0,57
9,808,True,39276.0,33405.0,1,5871.0,22
9,808,False,43533.0,39044.0,1,4489.0,22
9,909,True,80681.0,84997.0,0,-4316.0,245
9,909,False,87086.0,82929.0,1,4157.0,253
10,42,True,88083.0,86447.0,1,1636.0,273
10,42,False,52209.0,52660.0,0,-451.0,32
10,101,True,49879.0,52427.0,0,-2548.0,30
10,101,False,58845.0,58860.0,0,-15.0,32
10,202,True,68585.0,71861.0,0,-3276.0,26
10,202,False,61339.0,65923.0,0,-4584.0,32
10,303,True,42985.0,41398.0,1,1587.0,32
10,303,False,43932.0,37027.0,1,6905.0,32
10,404,True,27457.0,31830.0,0,-4373.0,26
10,404,False,48330.0,52649.0,0,-4319.0,38
10,505,True,40949.0,41315.0,0,-366.0,15
10,505,False,42155.0,45186.0,0,-3031.0,5
10,606,True,53075.0,55130.0,0,-2055.0,26
10,606,False,47287.0,57216.0,0,-9929.0,22
10,707,True,48405.0,35868.0,1,12537.0,42
10,707,False,43826.0,35766.0,1,8060.0,34
10,808,True,40273.0,33237.0,1,7036.0,32
10,808,False,43142.0,42284.0,1,858.0,32
10,909,True,64041.0,72617.0,0,-8576.0,30
10,909,False,79613.0,86331.0,0,-6718.0,209
11,42,True,92143.0,98494.0,0,-6351.0,263
11,42,False,60825.0,67116.0,0,-6291.0,42
11,101,True,46954.0,47191.0,0,-237.0,36
11,101,False,49789.0,54646.0,0,-4857.0,42
11,202,True,64779.0,60155.0,1,4624.0,84
11,202,False,62575.0,65848.0,0,-3273.0,53
11,303,True,37131.0,35097.0,1,2034.0,22
11,303,False,45352.0,47307.0,0,-1955.0,34
11,404,True,38108.0,47173.0,0,-9065.0,22
11,404,False,44599.0,42594.0,1,2005.0,26
11,505,True,37458.0,41983.0,0,-4525.0,1
11,505,False,36420.0,44408.0,0,-7988.0,5
11,606,True,42777.0,42286.0,1,491.0,22
11,606,False,56137.0,62670.0,0,-6533.0,72
11,707,True,32456.0,27129.0,1,5327.0,19
11,707,False,34873.0,27180.0,1,7693.0,38
11,808,True,50998.0,56695.0,0,-5697.0,49
11,808,False,58694.0,62000.0,0,-3306.0,97
11,909,True,69362.0,76838.0,0,-7476.0,91
11,909,False,73262.0,74627.0,0,-1365.0,181
12,42,True,86527.0,97146.0,0,-10619.0,226
12,42,False,60481.0,67116.0,0,-6635.0,42
12,101,True,46265.0,47213.0,0,-948.0,36
12,101,False,43467.0,51202.0,0,-7735.0,32
12,202,True,64321.0,60156.0,1,4165.0,84
12,202,False,65719.0,67514.0,0,-1795.0,78
12,303,True,31885.0,35179.0,0,-3294.0,26
12,303,False,46151.0,44735.0,1,1416.0,13
12,404,True,40137.0,49091.0,0,-8954.0,19
12,404,False,44202.0,42595.0,1,1607.0,26
12,505,True,36992.0,42324.0,0,-5332.0,1
12,505,False,38669.0,44533.0,0,-5864.0,5
12,606,True,42340.0,47702.0,0,-5362.0,22
12,606,False,41761.0,48521.0,0,-6760.0,22
12,707,True,36699.0,37619.0,0,-920.0,22
12,707,False,39368.0,34269.0,1,5099.0,38
12,808,True,50598.0,56695.0,0,-6097.0,49
12,808,False,43335.0,47734.0,0,-4399.0,45
12,909,True,68962.0,76838.0,0,-7876.0,91
12,909,False,72862.0,74627.0,0,-1765.0,181
