capacity,start_day,seed,cand_is_p0,cand_score,v025_score,won,delta,cash_d8,cash_d12,cash_d18,cash_d24,cash_d29
20,6,42,True,82507.0,91747.0,0,-9240.0,660.0,13589.0,23399.0,55766.0,81071.0
20,6,42,False,46567.0,48916.0,0,-2349.0,600.0,13212.0,21108.0,42387.0,47269.0
20,6,101,True,32862.0,31829.0,1,1033.0,581.0,13816.0,21445.0,30654.0,33597.0
20,6,101,False,39742.0,44172.0,0,-4430.0,581.0,13645.0,21586.0,34169.0,40428.0
20,6,202,True,70352.0,85419.0,0,-15067.0,672.0,13231.0,22390.0,51881.0,70226.0
20,6,202,False,54255.0,62753.0,0,-8498.0,672.0,13135.0,21826.0,45825.0,54693.0
20,6,303,True,47621.0,49788.0,0,-2167.0,696.0,12855.0,20892.0,41802.0,48288.0
20,6,303,False,76566.0,92482.0,0,-15916.0,652.0,13309.0,21834.0,48625.0,72869.0
20,6,404,True,47751.0,53194.0,0,-5443.0,693.0,14277.0,25497.0,41015.0,48474.0
20,6,404,False,32261.0,31298.0,1,963.0,672.0,12529.0,16695.0,27712.0,32989.0
20,6,505,True,43113.0,47319.0,0,-4206.0,736.0,13872.0,23797.0,38073.0,43756.0
20,6,505,False,40778.0,42971.0,0,-2193.0,736.0,13872.0,23299.0,36141.0,41486.0
20,6,606,True,40561.0,40664.0,0,-103.0,678.0,12903.0,20122.0,35244.0,41355.0
20,6,606,False,37265.0,39615.0,0,-2350.0,683.0,12626.0,20196.0,33589.0,38003.0
20,6,707,True,20173.0,4454.0,1,15719.0,712.0,12516.0,16574.0,20580.0,20960.0
20,6,707,False,31429.0,23809.0,1,7620.0,655.0,12286.0,15915.0,26242.0,32190.0
20,6,808,True,38860.0,38395.0,1,465.0,670.0,12645.0,20281.0,35472.0,39328.0
20,6,808,False,42083.0,43822.0,0,-1739.0,670.0,12645.0,20962.0,38954.0,42759.0
20,6,909,True,66216.0,77340.0,0,-11124.0,680.0,13449.0,25628.0,54278.0,66516.0
20,6,909,False,65810.0,81863.0,0,-16053.0,683.0,13508.0,25494.0,51973.0,65108.0
25,6,42,True,86342.0,88569.0,0,-2227.0,660.0,12495.0,22639.0,56142.0,82675.0
25,6,42,False,41600.0,34792.0,1,6808.0,600.0,12502.0,20222.0,37317.0,42352.0
25,6,101,True,39502.0,39821.0,0,-319.0,581.0,13231.0,21124.0,34049.0,40057.0
25,6,101,False,29178.0,28911.0,1,267.0,581.0,13108.0,20599.0,27693.0,29858.0
25,6,202,True,73689.0,82174.0,0,-8485.0,672.0,12672.0,20927.0,48441.0,71220.0
25,6,202,False,69095.0,73377.0,0,-4282.0,672.0,12710.0,21080.0,50260.0,68348.0
25,6,303,True,46894.0,47338.0,0,-444.0,696.0,12070.0,19144.0,39615.0,47613.0
25,6,303,False,67586.0,73240.0,0,-5654.0,652.0,12364.0,21138.0,49649.0,66318.0
25,6,404,True,44852.0,45994.0,0,-1142.0,693.0,13350.0,23956.0,38494.0,45454.0
25,6,404,False,36343.0,30523.0,1,5820.0,672.0,11893.0,16210.0,30234.0,37017.0
25,6,505,True,38470.0,36139.0,1,2331.0,736.0,13554.0,21490.0,33911.0,38897.0
25,6,505,False,29980.0,29163.0,1,817.0,736.0,13554.0,21403.0,28700.0,30686.0
25,6,606,True,47081.0,44578.0,1,2503.0,678.0,12126.0,19870.0,38756.0,47777.0
25,6,606,False,52991.0,57799.0,0,-4808.0,683.0,12390.0,19953.0,44413.0,53608.0
25,6,707,True,29467.0,17069.0,1,12398.0,712.0,11630.0,15862.0,25283.0,29858.0
25,6,707,False,32338.0,19035.0,1,13303.0,655.0,11860.0,15279.0,27268.0,33095.0
25,6,808,True,49148.0,44484.0,1,4664.0,670.0,12319.0,20231.0,39958.0,49776.0
25,6,808,False,41233.0,32776.0,1,8457.0,670.0,12319.0,19769.0,35907.0,41953.0
25,6,909,True,51361.0,59493.0,0,-8132.0,680.0,12809.0,23719.0,44701.0,51988.0
25,6,909,False,79384.0,88704.0,0,-9320.0,683.0,13089.0,24533.0,56400.0,78143.0
30,6,42,True,94936.0,94966.0,0,-30.0,660.0,12154.0,22082.0,59944.0,92009.0
30,6,42,False,38198.0,26158.0,1,12040.0,600.0,10857.0,19357.0,35507.0,38892.0
30,6,101,True,41509.0,42050.0,0,-541.0,581.0,12632.0,19887.0,33111.0,41736.0
30,6,101,False,35731.0,33851.0,1,1880.0,581.0,12705.0,20190.0,31926.0,36374.0
30,6,202,True,76960.0,76016.0,1,944.0,672.0,11927.0,20308.0,52647.0,72980.0
30,6,202,False,64337.0,61742.0,1,2595.0,672.0,11674.0,20356.0,49195.0,64414.0
30,6,303,True,53293.0,54323.0,0,-1030.0,696.0,11667.0,19237.0,40511.0,53135.0
30,6,303,False,53055.0,51516.0,1,1539.0,652.0,12028.0,19567.0,43224.0,53185.0
30,6,404,True,55655.0,57095.0,0,-1440.0,693.0,12851.0,25109.0,45252.0,56122.0
30,6,404,False,40502.0,31311.0,1,9191.0,672.0,11417.0,16926.0,32589.0,41223.0
30,6,505,True,46349.0,41015.0,1,5334.0,736.0,13207.0,20802.0,36305.0,46648.0
30,6,505,False,44982.0,41199.0,1,3783.0,736.0,13207.0,20090.0,35491.0,45306.0
30,6,606,True,52929.0,46222.0,1,6707.0,678.0,11966.0,19663.0,42611.0,53431.0
30,6,606,False,45981.0,40201.0,1,5780.0,683.0,11789.0,19014.0,37703.0,46559.0
30,6,707,True,32434.0,20759.0,1,11675.0,712.0,11031.0,16173.0,26725.0,33077.0
30,6,707,False,41788.0,34855.0,1,6933.0,655.0,11156.0,16082.0,32209.0,42304.0
30,6,808,True,48728.0,37705.0,1,11023.0,670.0,11801.0,19471.0,40398.0,49195.0
30,6,808,False,48617.0,38211.0,1,10406.0,670.0,11801.0,19111.0,38687.0,49087.0
30,6,909,True,76744.0,84989.0,0,-8245.0,680.0,12364.0,24222.0,57068.0,76175.0
30,6,909,False,58154.0,58175.0,0,-21.0,683.0,12444.0,23765.0,47497.0,58610.0
35,6,42,True,85528.0,87250.0,0,-1722.0,660.0,11581.0,20763.0,56016.0,81942.0
35,6,42,False,50290.0,49664.0,1,626.0,600.0,11522.0,18718.0,40836.0,50063.0
35,6,101,True,49461.0,47648.0,1,1813.0,581.0,12221.0,19534.0,36566.0,49755.0
35,6,101,False,39595.0,41951.0,0,-2356.0,581.0,11874.0,18335.0,29649.0,39579.0
35,6,202,True,74902.0,86965.0,0,-12063.0,672.0,11259.0,20599.0,50551.0,71893.0
35,6,202,False,70357.0,74166.0,0,-3809.0,672.0,11174.0,19232.0,47837.0,70077.0
35,6,303,True,55485.0,58481.0,0,-2996.0,696.0,11170.0,19497.0,40966.0,55662.0
35,6,303,False,74130.0,85485.0,0,-11355.0,652.0,11528.0,20400.0,48357.0,72613.0
35,6,404,True,56947.0,60000.0,0,-3053.0,693.0,12351.0,24499.0,43356.0,57224.0
35,6,404,False,37450.0,29372.0,1,8078.0,672.0,10824.0,15464.0,29319.0,37928.0
35,6,505,True,45435.0,43839.0,1,1596.0,736.0,12708.0,21045.0,36036.0,46079.0
35,6,505,False,43422.0,42002.0,1,1420.0,736.0,12708.0,20921.0,35779.0,44131.0
35,6,606,True,55954.0,56451.0,0,-497.0,678.0,11289.0,19390.0,43347.0,56183.0
35,6,606,False,54959.0,64303.0,0,-9344.0,683.0,11285.0,18676.0,42034.0,55406.0
35,6,707,True,34228.0,26694.0,1,7534.0,712.0,10529.0,15611.0,26218.0,34406.0
35,6,707,False,32780.0,20611.0,1,12169.0,655.0,10551.0,12425.0,24086.0,32538.0
35,6,808,True,49556.0,47621.0,1,1935.0,670.0,11298.0,18209.0,36331.0,49847.0
35,6,808,False,50629.0,48248.0,1,2381.0,670.0,11298.0,17789.0,37719.0,51002.0
35,6,909,True,54547.0,68653.0,0,-14106.0,680.0,11964.0,22225.0,42768.0,54768.0
35,6,909,False,55942.0,53911.0,1,2031.0,683.0,11880.0,22876.0,44174.0,56474.0
40,6,42,True,86267.0,87808.0,0,-1541.0,660.0,11088.0,20584.0,54535.0,83061.0
40,6,42,False,44800.0,38827.0,1,5973.0,600.0,11045.0,17923.0,37322.0,44850.0
40,6,101,True,43309.0,47365.0,0,-4056.0,581.0,11554.0,18821.0,32812.0,43191.0
40,6,101,False,34167.0,35712.0,0,-1545.0,581.0,11372.0,18299.0,29553.0,34651.0
40,6,202,True,59602.0,61915.0,0,-2313.0,672.0,10761.0,20416.0,46704.0,59862.0
40,6,202,False,70659.0,73123.0,0,-2464.0,672.0,10674.0,18796.0,48287.0,70516.0
40,6,303,True,52923.0,58809.0,0,-5886.0,696.0,10670.0,18002.0,37512.0,53637.0
40,6,303,False,64615.0,72133.0,0,-7518.0,652.0,11028.0,19830.0,47575.0,64470.0
40,6,404,True,58022.0,62477.0,0,-4455.0,693.0,11951.0,24206.0,44537.0,58294.0
40,6,404,False,37957.0,24874.0,1,13083.0,672.0,10324.0,14090.0,28499.0,38309.0
40,6,505,True,46721.0,49657.0,0,-2936.0,736.0,12193.0,20561.0,36095.0,46852.0
40,6,505,False,47464.0,43919.0,1,3545.0,736.0,12193.0,21352.0,37691.0,48007.0
40,6,606,True,42335.0,29469.0,1,12866.0,678.0,10790.0,18138.0,33447.0,42861.0
40,6,606,False,51074.0,51538.0,0,-464.0,683.0,10794.0,17290.0,37600.0,51076.0
40,6,707,True,33388.0,23140.0,1,10248.0,712.0,10029.0,15000.0,27373.0,33384.0
40,6,707,False,38730.0,27620.0,1,11110.0,655.0,10051.0,12429.0,25513.0,38548.0
40,6,808,True,39699.0,30398.0,1,9301.0,670.0,10805.0,17066.0,29828.0,39488.0
40,6,808,False,49034.0,48076.0,1,958.0,670.0,10805.0,17546.0,36723.0,48860.0
40,6,909,True,58910.0,65227.0,0,-6317.0,680.0,11463.0,22219.0,45175.0,59122.0
40,6,909,False,58447.0,52752.0,1,5695.0,683.0,11377.0,22557.0,44835.0,58770.0
45,6,42,True,80557.0,85302.0,0,-4745.0,660.0,10588.0,19693.0,53589.0,78247.0
45,6,42,False,40170.0,30752.0,1,9418.0,600.0,10545.0,17008.0,29092.0,40022.0
45,6,101,True,46842.0,48157.0,0,-1315.0,581.0,11055.0,18120.0,34292.0,47123.0
45,6,101,False,33863.0,35023.0,0,-1160.0,581.0,10872.0,18021.0,29589.0,34423.0
45,6,202,True,60099.0,60093.0,1,6.0,672.0,10261.0,19772.0,46260.0,60026.0
45,6,202,False,69526.0,75277.0,0,-5751.0,672.0,10174.0,17913.0,45982.0,68675.0
45,6,303,True,47698.0,58086.0,0,-10388.0,696.0,10170.0,17372.0,36454.0,48382.0
45,6,303,False,75091.0,81813.0,0,-6722.0,652.0,10528.0,20003.0,49527.0,73381.0
45,6,404,True,59093.0,61711.0,0,-2618.0,693.0,11451.0,23786.0,44849.0,59100.0
45,6,404,False,38368.0,25961.0,1,12407.0,672.0,9824.0,13189.0,28205.0,38858.0
45,6,505,True,37549.0,35671.0,1,1878.0,736.0,11692.0,20542.0,34622.0,38263.0
45,6,505,False,49563.0,44653.0,1,4910.0,736.0,11692.0,20483.0,36693.0,49867.0
45,6,606,True,41775.0,30829.0,1,10946.0,678.0,10290.0,16646.0,33248.0,42300.0
45,6,606,False,47968.0,51864.0,0,-3896.0,683.0,10294.0,18202.0,35361.0,48270.0
45,6,707,True,30144.0,19504.0,1,10640.0,712.0,9529.0,14481.0,24864.0,30170.0
45,6,707,False,40999.0,28940.0,1,12059.0,655.0,9551.0,12042.0,27727.0,40393.0
45,6,808,True,42752.0,28923.0,1,13829.0,670.0,10305.0,17281.0,34093.0,42641.0
45,6,808,False,52848.0,45233.0,1,7615.0,670.0,10305.0,17198.0,37759.0,52827.0
45,6,909,True,56345.0,57067.0,0,-722.0,680.0,10963.0,21873.0,43184.0,56313.0
45,6,909,False,53750.0,52399.0,1,1351.0,683.0,10877.0,21997.0,44056.0,54148.0
50,6,42,True,83398.0,88667.0,0,-5269.0,660.0,10088.0,19568.0,52536.0,79841.0
50,6,42,False,69909.0,71625.0,0,-1716.0,600.0,10045.0,17713.0,43396.0,67509.0
50,6,101,True,43796.0,46475.0,0,-2679.0,581.0,10555.0,17660.0,32918.0,44118.0
50,6,101,False,32439.0,35186.0,0,-2747.0,581.0,10372.0,17274.0,27682.0,32927.0
50,6,202,True,56086.0,65405.0,0,-9319.0,672.0,9761.0,18645.0,44061.0,55920.0
50,6,202,False,66066.0,74463.0,0,-8397.0,672.0,9674.0,17963.0,44626.0,65747.0
50,6,303,True,46726.0,58204.0,0,-11478.0,696.0,9670.0,16872.0,34544.0,47037.0
50,6,303,False,72131.0,82884.0,0,-10753.0,652.0,10028.0,19326.0,47200.0,70288.0
50,6,404,True,57129.0,61822.0,0,-4693.0,693.0,10951.0,23057.0,43609.0,57324.0
50,6,404,False,42622.0,37747.0,1,4875.0,672.0,9324.0,12520.0,27387.0,42695.0
50,6,505,True,43999.0,43977.0,1,22.0,736.0,11192.0,19247.0,32785.0,44093.0
50,6,505,False,49784.0,49789.0,0,-5.0,736.0,11192.0,20106.0,38270.0,49913.0
50,6,606,True,45177.0,44192.0,1,985.0,678.0,9790.0,16673.0,33559.0,45235.0
50,6,606,False,49313.0,50758.0,0,-1445.0,683.0,9794.0,17643.0,36458.0,49230.0
50,6,707,True,31648.0,22134.0,1,9514.0,712.0,9029.0,14034.0,22770.0,31314.0
50,6,707,False,33677.0,22735.0,1,10942.0,655.0,9051.0,11442.0,23842.0,32801.0
50,6,808,True,42644.0,34974.0,1,7670.0,670.0,9805.0,16481.0,31684.0,42295.0
50,6,808,False,45028.0,36439.0,1,8589.0,670.0,9805.0,15903.0,32541.0,45148.0
50,6,909,True,54025.0,55423.0,0,-1398.0,680.0,10463.0,21273.0,40731.0,54000.0
50,6,909,False,57980.0,60365.0,0,-2385.0,683.0,10377.0,21382.0,45464.0,57833.0
40,5,42,True,86267.0,87808.0,0,-1541.0,660.0,11088.0,20584.0,54535.0,83061.0
40,5,42,False,45950.0,53223.0,0,-7273.0,678.0,11371.0,20022.0,35088.0,46455.0
40,5,101,True,43309.0,47365.0,0,-4056.0,581.0,11554.0,18821.0,32812.0,43191.0
40,5,101,False,34167.0,35712.0,0,-1545.0,581.0,11372.0,18299.0,29553.0,34651.0
40,5,202,True,59602.0,61915.0,0,-2313.0,672.0,10761.0,20416.0,46704.0,59862.0
40,5,202,False,70659.0,73123.0,0,-2464.0,672.0,10674.0,18796.0,48287.0,70516.0
40,5,303,True,52923.0,58809.0,0,-5886.0,696.0,10670.0,18002.0,37512.0,53637.0
40,5,303,False,64615.0,72133.0,0,-7518.0,652.0,11028.0,19830.0,47575.0,64470.0
40,5,404,True,58022.0,62477.0,0,-4455.0,693.0,11951.0,24206.0,44537.0,58294.0
40,5,404,False,50702.0,53683.0,0,-2981.0,664.0,8928.0,18878.0,38158.0,50964.0
