Capacity,Start Day,Matches,Win Rate (%),Mean Cash ($),Median Cash ($),V025 Mean ($),Paired Delta ($),Cash D8 ($),Cash D18 ($),Cash D29 ($)
40,D9,20,90.0,50068.6,48387.5,43299.4,6769.2,1021.35,20169.6,50052.6
40,D8,20,85.0,55852.05,51468.5,50511.55,5340.5,1021.35,20522.45,55279.9
40,D7,20,80.0,51053.4,51712.5,46993.55,4059.85,665.25,19644.9,50569.3
30,D6,20,70.0,52544.1,48672.5,48617.95,3926.15,669.1,20070.6,52523.1
45,D6,20,55.00000000000001,50250.0,47833.0,47862.9,2387.1,669.1,18281.1,50171.45
40,D6,20,45.0,50906.15,48249.0,49241.95,1664.2,669.1,18756.25,50890.45
40,D5,20,40.0,49038.6,49323.5,48337.85,700.75,673.45,18667.8,49091.15
25,D6,20,50.0,49326.7,45873.0,48698.95,627.75,669.1,20457.4,49334.65
50,D6,20,35.0,51178.85,48019.5,52163.2,-984.35,669.1,17739.1,50763.4
35,D6,20,50.0,53579.85,52588.0,54665.75,-1085.9,669.1,19310.4,53378.5
20,D6,20,25.0,47838.6,42598.0,51592.5,-3753.9,669.1,21447.0,48068.25
