config,seed,cand_is_p0,cand_score,v025_score,won,delta
No_Succession,42,True,85442.0,80149.0,1,5293.0
No_Succession,42,False,43987.0,29170.0,1,14817.0
No_Succession,101,True,56395.0,52844.0,1,3551.0
No_Succession,101,False,57328.0,55019.0,1,2309.0
No_Succession,202,True,63003.0,63032.0,0,-29.0
No_Succession,202,False,68472.0,66504.0,1,1968.0
No_Succession,303,True,51219.0,38978.0,1,12241.0
No_Succession,303,False,53451.0,41528.0,1,11923.0
No_Succession,404,True,51325.0,49019.0,1,2306.0
No_Succession,404,False,54475.0,51996.0,1,2479.0
No_Succession,505,True,51502.0,46989.0,1,4513.0
No_Succession,505,False,53274.0,47659.0,1,5615.0
No_Succession,606,True,44843.0,38844.0,1,5999.0
No_Succession,606,False,46954.0,44902.0,1,2052.0
No_Succession,707,True,48335.0,40670.0,1,7665.0
No_Succession,707,False,37779.0,28225.0,1,9554.0
No_Succession,808,True,49931.0,40212.0,1,9719.0
No_Succession,808,False,56153.0,44594.0,1,11559.0
No_Succession,909,True,81129.0,82043.0,0,-914.0
No_Succession,909,False,62335.0,62538.0,0,-203.0
Destroy_D21,42,True,60141.0,79726.0,0,-19585.0
Destroy_D21,42,False,21420.0,32500.0,0,-11080.0
Destroy_D21,101,True,34818.0,54000.0,0,-19182.0
Destroy_D21,101,False,36169.0,56917.0,0,-20748.0
Destroy_D21,202,True,45868.0,67701.0,0,-21833.0
Destroy_D21,202,False,51155.0,70521.0,0,-19366.0
Destroy_D21,303,True,17482.0,41621.0,0,-24139.0
Destroy_D21,303,False,22905.0,41915.0,0,-19010.0
Destroy_D21,404,True,27899.0,49858.0,0,-21959.0
Destroy_D21,404,False,24611.0,53131.0,0,-28520.0
Destroy_D21,505,True,29208.0,46996.0,0,-17788.0
Destroy_D21,505,False,30973.0,48410.0,0,-17437.0
Destroy_D21,606,True,24805.0,42126.0,0,-17321.0
Destroy_D21,606,False,23494.0,47306.0,0,-23812.0
Destroy_D21,707,True,23166.0,40822.0,0,-17656.0
Destroy_D21,707,False,14251.0,29291.0,0,-15040.0
Destroy_D21,808,True,26370.0,41468.0,0,-15098.0
Destroy_D21,808,False,25490.0,44996.0,0,-19506.0
Destroy_D21,909,True,62213.0,83142.0,0,-20929.0
Destroy_D21,909,False,36780.0,63371.0,0,-26591.0
Destroy_D22,42,True,66833.0,81283.0,0,-14450.0
Destroy_D22,42,False,25476.0,32066.0,0,-6590.0
Destroy_D22,101,True,39505.0,53549.0,0,-14044.0
Destroy_D22,101,False,39572.0,56552.0,0,-16980.0
Destroy_D22,202,True,49265.0,67156.0,0,-17891.0
Destroy_D22,202,False,54603.0,70074.0,0,-15471.0
Destroy_D22,303,True,24926.0,41160.0,0,-16234.0
Destroy_D22,303,False,28094.0,41653.0,0,-13559.0
Destroy_D22,404,True,31720.0,49539.0,0,-17819.0
Destroy_D22,404,False,31528.0,52482.0,0,-20954.0
Destroy_D22,505,True,33460.0,47603.0,0,-14143.0
