Configuration,Matches,Win Rate (%),Mean Cash ($),Median Cash ($),V025 Mean ($),Paired Delta ($),Delta Std ($)
No_Succession,20,85.0,55866.6,53362.5,50245.75,5620.85,4656.79788645193
Destroy_D25,20,5.0,43948.35,41159.5,50414.7,-6466.35,3679.650273356223
Destroy_D24,20,5.0,42464.85,39361.0,50492.25,-8027.4,3659.1478357959963
GM_Staggered_D23_25,20,0.0,39447.65,35566.0,51128.2,-11680.55,3560.2885819610333
Destroy_D23,20,0.0,37460.1,33433.5,51266.8,-13806.7,3820.0467770627324
Wheat_Count_40,20,0.0,37460.1,33433.5,51266.8,-13806.7,3820.0467770627324
Wheat_Count_30,20,0.0,37460.1,33433.5,51266.8,-13806.7,3820.0467770627324
Wheat_Count_20,20,0.0,37460.1,33433.5,51266.8,-13806.7,3820.0467770627324
Wheat_Count_25,20,0.0,37460.1,33433.5,51266.8,-13806.7,3820.0467770627324
Wheat_Count_45,20,0.0,37460.1,33433.5,51266.8,-13806.7,3820.0467770627324
Progressive_Partial,20,0.0,37381.8,33322.5,51413.55,-14031.75,3769.185796135483
Destroy_D22,20,0.0,36247.2,31624.0,51559.9,-15312.7,3567.695350753687
Destroy_D21,20,0.0,31960.9,27134.5,51790.9,-19830.0,4042.7634894436933
