strategy,seed,cand_is_p0,cand_score,v025_score,won,delta
Burst_Selling,42,True,43932.0,28150.0,1,15782.0
Burst_Selling,42,False,85805.0,72003.0,1,13802.0
Burst_Selling,101,True,36271.0,35853.0,1,418.0
Burst_Selling,101,False,33781.0,27661.0,1,6120.0
Burst_Selling,202,True,63644.0,60883.0,1,2761.0
Burst_Selling,202,False,63877.0,61626.0,1,2251.0
Burst_Selling,303,True,39927.0,26226.0,1,13701.0
Burst_Selling,303,False,31111.0,22980.0,1,8131.0
Burst_Selling,404,True,33260.0,32532.0,1,728.0
Burst_Selling,404,False,44804.0,46761.0,0,-1957.0
Burst_Selling,505,True,58385.0,56835.0,1,1550.0
Burst_Selling,505,False,56614.0,48868.0,1,7746.0
Burst_Selling,606,True,51687.0,52449.0,0,-762.0
Burst_Selling,606,False,63826.0,59095.0,1,4731.0
Burst_Selling,707,True,48298.0,45677.0,1,2621.0
Burst_Selling,707,False,48406.0,50500.0,0,-2094.0
Burst_Selling,808,True,88910.0,86595.0,1,2315.0
Burst_Selling,808,False,72078.0,69102.0,1,2976.0
Burst_Selling,909,True,27427.0,29427.0,0,-2000.0
Burst_Selling,909,False,41853.0,43694.0,0,-1841.0
Fixed_Batch_4,42,True,35080.0,39343.0,0,-4263.0
Fixed_Batch_4,42,False,81383.0,78365.0,1,3018.0
Fixed_Batch_4,101,True,31110.0,31633.0,0,-523.0
Fixed_Batch_4,101,False,31100.0,26809.0,1,4291.0
Fixed_Batch_4,202,True,59331.0,59831.0,0,-500.0
Fixed_Batch_4,202,False,59696.0,62241.0,0,-2545.0
Fixed_Batch_4,303,True,46311.0,32110.0,1,14201.0
Fixed_Batch_4,303,False,49148.0,49610.0,0,-462.0
Fixed_Batch_4,404,True,41470.0,47756.0,0,-6286.0
Fixed_Batch_4,404,False,55427.0,56253.0,0,-826.0
Fixed_Batch_4,505,True,71696.0,71748.0,0,-52.0
Fixed_Batch_4,505,False,79415.0,79589.0,0,-174.0
Fixed_Batch_4,606,True,52008.0,59000.0,0,-6992.0
Fixed_Batch_4,606,False,48765.0,45554.0,1,3211.0
Fixed_Batch_4,707,True,49992.0,52764.0,0,-2772.0
Fixed_Batch_4,707,False,60852.0,64933.0,0,-4081.0
Fixed_Batch_4,808,True,70354.0,78572.0,0,-8218.0
Fixed_Batch_4,808,False,75153.0,76267.0,0,-1114.0
Fixed_Batch_4,909,True,42997.0,47773.0,0,-4776.0
Fixed_Batch_4,909,False,43682.0,45517.0,0,-1835.0
Fixed_Batch_8,42,True,51076.0,49069.0,1,2007.0
Fixed_Batch_8,42,False,94216.0,88896.0,1,5320.0
Fixed_Batch_8,101,True,33229.0,32470.0,1,759.0
Fixed_Batch_8,101,False,34379.0,26378.0,1,8001.0
Fixed_Batch_8,202,True,54684.0,55083.0,0,-399.0
Fixed_Batch_8,202,False,61641.0,61335.0,1,306.0
Fixed_Batch_8,303,True,22904.0,24138.0,0,-1234.0
Fixed_Batch_8,303,False,36783.0,29387.0,1,7396.0
Fixed_Batch_8,404,True,37164.0,40258.0,0,-3094.0
Fixed_Batch_8,404,False,31765.0,34809.0,0,-3044.0
Fixed_Batch_8,505,True,36834.0,31588.0,1,5246.0
Fixed_Batch_8,505,False,42877.0,42648.0,1,229.0
Fixed_Batch_8,606,True,42310.0,40141.0,1,2169.0
Fixed_Batch_8,606,False,49944.0,54693.0,0,-4749.0
Fixed_Batch_8,707,True,54918.0,54386.0,1,532.0
Fixed_Batch_8,707,False,50614.0,54254.0,0,-3640.0
Fixed_Batch_8,808,True,94540.0,90836.0,1,3704.0
Fixed_Batch_8,808,False,97265.0,94474.0,1,2791.0
Fixed_Batch_8,909,True,34215.0,40093.0,0,-5878.0
Fixed_Batch_8,909,False,41963.0,45390.0,0,-3427.0
Fixed_Batch_10,42,True,30967.0,32973.0,0,-2006.0
Fixed_Batch_10,42,False,89839.0,86836.0,1,3003.0
Fixed_Batch_10,101,True,33981.0,24646.0,1,9335.0
Fixed_Batch_10,101,False,38860.0,37694.0,1,1166.0
Fixed_Batch_10,202,True,55385.0,53730.0,1,1655.0
Fixed_Batch_10,202,False,62668.0,65578.0,0,-2910.0
Fixed_Batch_10,303,True,38789.0,29799.0,1,8990.0
Fixed_Batch_10,303,False,34603.0,22780.0,1,11823.0
Fixed_Batch_10,404,True,24654.0,29827.0,0,-5173.0
Fixed_Batch_10,404,False,45668.0,48360.0,0,-2692.0
Fixed_Batch_10,505,True,70000.0,74345.0,0,-4345.0
Fixed_Batch_10,505,False,54564.0,61492.0,0,-6928.0
Fixed_Batch_10,606,True,66621.0,71039.0,0,-4418.0
Fixed_Batch_10,606,False,62789.0,59506.0,1,3283.0
Fixed_Batch_10,707,True,52006.0,48323.0,1,3683.0
Fixed_Batch_10,707,False,51258.0,56681.0,0,-5423.0
Fixed_Batch_10,808,True,89002.0,92424.0,0,-3422.0
Fixed_Batch_10,808,False,90049.0,88371.0,1,1678.0
Fixed_Batch_10,909,True,36417.0,38977.0,0,-2560.0
Fixed_Batch_10,909,False,36742.0,39631.0,0,-2889.0
Fixed_Batch_12,42,True,31713.0,32801.0,0,-1088.0
Fixed_Batch_12,42,False,90152.0,86691.0,1,3461.0
Fixed_Batch_12,101,True,34084.0,24528.0,1,9556.0
Fixed_Batch_12,101,False,38929.0,37604.0,1,1325.0
Fixed_Batch_12,202,True,54995.0,53561.0,1,1434.0
Fixed_Batch_12,202,False,62582.0,64765.0,0,-2183.0
Fixed_Batch_12,303,True,38791.0,29723.0,1,9068.0
Fixed_Batch_12,303,False,34756.0,22603.0,1,12153.0
Fixed_Batch_12,404,True,24925.0,30139.0,0,-5214.0
Fixed_Batch_12,404,False,46476.0,46487.0,0,-11.0
Fixed_Batch_12,505,True,70257.0,74060.0,0,-3803.0
Fixed_Batch_12,505,False,54814.0,61265.0,0,-6451.0
Fixed_Batch_12,606,True,64860.0,70687.0,0,-5827.0
Fixed_Batch_12,606,False,62989.0,59293.0,1,3696.0
Fixed_Batch_12,707,True,52169.0,48144.0,1,4025.0
Fixed_Batch_12,707,False,58743.0,66303.0,0,-7560.0
Fixed_Batch_12,808,True,90317.0,92277.0,0,-1960.0
Fixed_Batch_12,808,False,90145.0,88250.0,1,1895.0
Fixed_Batch_12,909,True,36577.0,38789.0,0,-2212.0
Fixed_Batch_12,909,False,35153.0,37483.0,0,-2330.0
Fixed_Batch_14,42,True,31781.0,32717.0,0,-936.0
Fixed_Batch_14,42,False,90665.0,86592.0,1,4073.0
Fixed_Batch_14,101,True,33947.0,24459.0,1,9488.0
Fixed_Batch_14,101,False,33273.0,27952.0,1,5321.0
Fixed_Batch_14,202,True,63210.0,61245.0,1,1965.0
Fixed_Batch_14,202,False,62750.0,64569.0,0,-1819.0
Fixed_Batch_14,303,True,38845.0,29654.0,1,9191.0
Fixed_Batch_14,303,False,28602.0,23388.0,1,5214.0
Fixed_Batch_14,404,True,24967.0,30057.0,0,-5090.0
Fixed_Batch_14,404,False,46610.0,46321.0,1,289.0
Fixed_Batch_14,505,True,70456.0,73841.0,0,-3385.0
Fixed_Batch_14,505,False,54897.0,61164.0,0,-6267.0
Fixed_Batch_14,606,True,47849.0,52614.0,0,-4765.0
Fixed_Batch_14,606,False,63068.0,59192.0,1,3876.0
Fixed_Batch_14,707,True,52274.0,48009.0,1,4265.0
Fixed_Batch_14,707,False,58942.0,66075.0,0,-7133.0
Fixed_Batch_14,808,True,89490.0,92197.0,0,-2707.0
Fixed_Batch_14,808,False,90209.0,88174.0,1,2035.0
Fixed_Batch_14,909,True,36778.0,38574.0,0,-1796.0
Fixed_Batch_14,909,False,35343.0,37279.0,0,-1936.0
Adaptive_Shed_Pacing,42,True,33400.0,29036.0,1,4364.0
Adaptive_Shed_Pacing,42,False,62132.0,51397.0,1,10735.0
Adaptive_Shed_Pacing,101,True,33445.0,24182.0,1,9263.0
Adaptive_Shed_Pacing,101,False,36827.0,28408.0,1,8419.0
Adaptive_Shed_Pacing,202,True,92527.0,93458.0,0,-931.0
Adaptive_Shed_Pacing,202,False,64023.0,69503.0,0,-5480.0
Adaptive_Shed_Pacing,303,True,43918.0,35605.0,1,8313.0
Adaptive_Shed_Pacing,303,False,43985.0,43212.0,1,773.0
Adaptive_Shed_Pacing,404,True,23669.0,27275.0,0,-3606.0
Adaptive_Shed_Pacing,404,False,30398.0,34189.0,0,-3791.0
Adaptive_Shed_Pacing,505,True,56961.0,40771.0,1,16190.0
Adaptive_Shed_Pacing,505,False,74653.0,66539.0,1,8114.0
Adaptive_Shed_Pacing,606,True,35682.0,31949.0,1,3733.0
Adaptive_Shed_Pacing,606,False,50878.0,52445.0,0,-1567.0
Adaptive_Shed_Pacing,707,True,53425.0,48684.0,1,4741.0
Adaptive_Shed_Pacing,707,False,52668.0,53361.0,0,-693.0
Adaptive_Shed_Pacing,808,True,82658.0,72482.0,1,10176.0
Adaptive_Shed_Pacing,808,False,86640.0,75850.0,1,10790.0
Adaptive_Shed_Pacing,909,True,44208.0,44155.0,1,53.0
Adaptive_Shed_Pacing,909,False,42626.0,44345.0,0,-1719.0
Priority_Berry_Milk_First,42,True,51076.0,49069.0,1,2007.0
Priority_Berry_Milk_First,42,False,94216.0,88896.0,1,5320.0
Priority_Berry_Milk_First,101,True,33229.0,32470.0,1,759.0
Priority_Berry_Milk_First,101,False,34379.0,26378.0,1,8001.0
Priority_Berry_Milk_First,202,True,54684.0,55083.0,0,-399.0
Priority_Berry_Milk_First,202,False,61641.0,61335.0,1,306.0
Priority_Berry_Milk_First,303,True,22904.0,24138.0,0,-1234.0
Priority_Berry_Milk_First,303,False,36783.0,29387.0,1,7396.0
Priority_Berry_Milk_First,404,True,37164.0,40258.0,0,-3094.0
Priority_Berry_Milk_First,404,False,31765.0,34809.0,0,-3044.0
Priority_Berry_Milk_First,505,True,36834.0,31588.0,1,5246.0
Priority_Berry_Milk_First,505,False,42877.0,42648.0,1,229.0
Priority_Berry_Milk_First,606,True,42310.0,40141.0,1,2169.0
Priority_Berry_Milk_First,606,False,49944.0,54693.0,0,-4749.0
Priority_Berry_Milk_First,707,True,54918.0,54386.0,1,532.0
Priority_Berry_Milk_First,707,False,50614.0,54254.0,0,-3640.0
Priority_Berry_Milk_First,808,True,94540.0,90836.0,1,3704.0
Priority_Berry_Milk_First,808,False,97265.0,94474.0,1,2791.0
Priority_Berry_Milk_First,909,True,34215.0,40093.0,0,-5878.0
Priority_Berry_Milk_First,909,False,41963.0,45390.0,0,-3427.0
IntraDay_Paced,42,True,37583.0,25943.0,1,11640.0
IntraDay_Paced,42,False,89149.0,74850.0,1,14299.0
IntraDay_Paced,101,True,31744.0,31544.0,1,200.0
IntraDay_Paced,101,False,40782.0,37668.0,1,3114.0
IntraDay_Paced,202,True,85892.0,87791.0,0,-1899.0
IntraDay_Paced,202,False,79239.0,87424.0,0,-8185.0
IntraDay_Paced,303,True,34890.0,26295.0,1,8595.0
IntraDay_Paced,303,False,34311.0,25618.0,1,8693.0
IntraDay_Paced,404,True,23033.0,28608.0,0,-5575.0
IntraDay_Paced,404,False,27919.0,31089.0,0,-3170.0
IntraDay_Paced,505,True,80696.0,76425.0,1,4271.0
IntraDay_Paced,505,False,74536.0,78238.0,0,-3702.0
IntraDay_Paced,606,True,42025.0,42026.0,0,-1.0
IntraDay_Paced,606,False,47716.0,44402.0,1,3314.0
IntraDay_Paced,707,True,52369.0,56448.0,0,-4079.0
IntraDay_Paced,707,False,49368.0,55189.0,0,-5821.0
IntraDay_Paced,808,True,74291.0,76197.0,0,-1906.0
IntraDay_Paced,808,False,80331.0,74046.0,1,6285.0
IntraDay_Paced,909,True,20890.0,27152.0,0,-6262.0
IntraDay_Paced,909,False,24776.0,30889.0,0,-6113.0
