seed,main_is_p0,main_score,v027_score,v025_score,won,delta
60000,True,48459.0,48459.0,31295.0,1,17164.0
60000,False,39812.0,39812.0,20090.0,1,19722.0
60001,True,57382.0,57382.0,44902.0,1,12480.0
60001,False,39791.0,39791.0,27289.0,1,12502.0
60002,True,80847.0,80847.0,70215.0,1,10632.0
60002,False,43753.0,43753.0,35430.0,1,8323.0
60003,True,80132.0,80132.0,77105.0,1,3027.0
60003,False,71726.0,71726.0,49211.0,1,22515.0
60004,True,48604.0,48604.0,28741.0,1,19863.0
60004,False,37524.0,37524.0,27371.0,1,10153.0
60005,True,73983.0,73983.0,69398.0,1,4585.0
60005,False,72447.0,72447.0,69179.0,1,3268.0
60006,True,52423.0,52423.0,32080.0,1,20343.0
60006,False,51073.0,51073.0,28942.0,1,22131.0
60007,True,70927.0,70927.0,59335.0,1,11592.0
60007,False,82669.0,82669.0,71893.0,1,10776.0
60008,True,78795.0,78795.0,82995.0,0,-4200.0
60008,False,81393.0,81393.0,78643.0,1,2750.0
60009,True,40008.0,40008.0,30389.0,1,9619.0
60009,False,40447.0,40447.0,24193.0,1,16254.0
60010,True,49329.0,49329.0,44932.0,1,4397.0
60010,False,49920.0,49920.0,44015.0,1,5905.0
60011,True,67427.0,67427.0,53563.0,1,13864.0
60011,False,82078.0,82078.0,82225.0,0,-147.0
60012,True,58975.0,58975.0,42011.0,1,16964.0
60012,False,82948.0,82948.0,87062.0,0,-4114.0
60013,True,56739.0,56739.0,45965.0,1,10774.0
60013,False,58534.0,58534.0,48592.0,1,9942.0
60014,True,55025.0,55025.0,52315.0,1,2710.0
60014,False,45627.0,45627.0,39456.0,1,6171.0
60015,True,50651.0,50651.0,40500.0,1,10151.0
60015,False,48816.0,48816.0,40599.0,1,8217.0
60016,True,31034.0,31034.0,14418.0,1,16616.0
60016,False,58559.0,58559.0,52595.0,1,5964.0
60017,True,61917.0,61917.0,46832.0,1,15085.0
60017,False,57366.0,57366.0,39608.0,1,17758.0
60018,True,98586.0,98586.0,99114.0,0,-528.0
60018,False,86059.0,86059.0,74935.0,1,11124.0
60019,True,82145.0,82145.0,82633.0,0,-488.0
60019,False,72806.0,72806.0,71260.0,1,1546.0
60020,True,90668.0,90668.0,93328.0,0,-2660.0
60020,False,87292.0,87292.0,79853.0,1,7439.0
60021,True,42894.0,42894.0,39740.0,1,3154.0
60021,False,40663.0,40663.0,33768.0,1,6895.0
60022,True,64662.0,64662.0,62525.0,1,2137.0
60022,False,61582.0,61582.0,59249.0,1,2333.0
60023,True,42173.0,42173.0,28160.0,1,14013.0
60023,False,38055.0,38055.0,25422.0,1,12633.0
60024,True,61848.0,61848.0,53020.0,1,8828.0
60024,False,63487.0,63487.0,54405.0,1,9082.0
60025,True,79090.0,79090.0,76315.0,1,2775.0
60025,False,76138.0,76138.0,74848.0,1,1290.0
60026,True,80526.0,80526.0,79472.0,1,1054.0
60026,False,59614.0,59614.0,49923.0,1,9691.0
60027,True,79070.0,79070.0,82206.0,0,-3136.0
60027,False,73946.0,73946.0,67644.0,1,6302.0
60028,True,48879.0,48879.0,32002.0,1,16877.0
60028,False,51497.0,51497.0,43570.0,1,7927.0
60029,True,46630.0,46630.0,29818.0,1,16812.0
60029,False,45439.0,45439.0,34360.0,1,11079.0
60030,True,34366.0,34366.0,28396.0,1,5970.0
60030,False,41302.0,41302.0,33932.0,1,7370.0
60031,True,48615.0,48615.0,46491.0,1,2124.0
60031,False,48086.0,48086.0,45373.0,1,2713.0
60032,True,76663.0,76663.0,70800.0,1,5863.0
60032,False,77445.0,77445.0,72261.0,1,5184.0
60033,True,76006.0,76006.0,64936.0,1,11070.0
60033,False,75867.0,75867.0,70043.0,1,5824.0
60034,True,78828.0,78828.0,79740.0,0,-912.0
60034,False,88900.0,88900.0,94468.0,0,-5568.0
60035,True,37151.0,37151.0,27410.0,1,9741.0
60035,False,34655.0,34655.0,21894.0,1,12761.0
60036,True,43827.0,43827.0,21749.0,1,22078.0
60036,False,49668.0,49668.0,32311.0,1,17357.0
60037,True,43116.0,43116.0,30261.0,1,12855.0
60037,False,42536.0,42536.0,24700.0,1,17836.0
60038,True,39555.0,39555.0,27609.0,1,11946.0
60038,False,44940.0,44940.0,29946.0,1,14994.0
60039,True,89038.0,89038.0,76831.0,1,12207.0
60039,False,64851.0,64851.0,52818.0,1,12033.0
60040,True,54136.0,54136.0,50923.0,1,3213.0
60040,False,70041.0,70041.0,68954.0,1,1087.0
60041,True,35548.0,35548.0,18116.0,1,17432.0
60041,False,45706.0,45706.0,25714.0,1,19992.0
60042,True,48999.0,48999.0,46337.0,1,2662.0
60042,False,52731.0,52731.0,48350.0,1,4381.0
60043,True,53061.0,53061.0,48976.0,1,4085.0
60043,False,41358.0,41358.0,37250.0,1,4108.0
60044,True,48274.0,48274.0,42704.0,1,5570.0
60044,False,51342.0,51342.0,47886.0,1,3456.0
60045,True,55859.0,55859.0,49816.0,1,6043.0
60045,False,55797.0,55797.0,49182.0,1,6615.0
60046,True,66415.0,66415.0,60719.0,1,5696.0
60046,False,64503.0,64503.0,49925.0,1,14578.0
60047,True,60244.0,60244.0,53109.0,1,7135.0
60047,False,49913.0,49913.0,42991.0,1,6922.0
60048,True,92232.0,92232.0,86706.0,1,5526.0
60048,False,80277.0,80277.0,77454.0,1,2823.0
60049,True,19924.0,19924.0,9907.0,1,10017.0
60049,False,33931.0,33931.0,28550.0,1,5381.0
60050,True,79324.0,79324.0,81846.0,0,-2522.0
60050,False,89531.0,89531.0,75836.0,1,13695.0
60051,True,72041.0,72041.0,71477.0,1,564.0
60051,False,70429.0,70429.0,69170.0,1,1259.0
60052,True,29003.0,29003.0,23491.0,1,5512.0
60052,False,35659.0,35659.0,29679.0,1,5980.0
60053,True,84730.0,84730.0,80367.0,1,4363.0
60053,False,41638.0,41638.0,24116.0,1,17522.0
60054,True,77118.0,77118.0,72049.0,1,5069.0
60054,False,61153.0,61153.0,55652.0,1,5501.0
60055,True,72349.0,72349.0,73716.0,0,-1367.0
60055,False,62765.0,62765.0,46460.0,1,16305.0
60056,True,66249.0,66249.0,49579.0,1,16670.0
60056,False,84744.0,84744.0,79113.0,1,5631.0
60057,True,75513.0,75513.0,69554.0,1,5959.0
60057,False,52116.0,52116.0,50260.0,1,1856.0
60058,True,71657.0,71657.0,59010.0,1,12647.0
60058,False,58176.0,58176.0,35013.0,1,23163.0
60059,True,88367.0,88367.0,84701.0,1,3666.0
60059,False,84424.0,84424.0,82566.0,1,1858.0
60060,True,52231.0,52231.0,35128.0,1,17103.0
60060,False,43693.0,43693.0,24815.0,1,18878.0
60061,True,77068.0,77068.0,77139.0,0,-71.0
60061,False,77951.0,77951.0,71906.0,1,6045.0
60062,True,43864.0,43864.0,42724.0,1,1140.0
60062,False,46819.0,46819.0,42922.0,1,3897.0
60063,True,59318.0,59318.0,47264.0,1,12054.0
60063,False,69084.0,69084.0,59024.0,1,10060.0
60064,True,55876.0,55876.0,38177.0,1,17699.0
60064,False,59729.0,59729.0,51363.0,1,8366.0
60065,True,82701.0,82701.0,68960.0,1,13741.0
60065,False,80636.0,80636.0,79597.0,1,1039.0
60066,True,90810.0,90810.0,85625.0,1,5185.0
60066,False,63097.0,63097.0,44646.0,1,18451.0
60067,True,37833.0,37833.0,23698.0,1,14135.0
60067,False,49160.0,49160.0,42354.0,1,6806.0
60068,True,46371.0,46371.0,30011.0,1,16360.0
60068,False,50155.0,50155.0,40798.0,1,9357.0
60069,True,60010.0,60010.0,46897.0,1,13113.0
60069,False,64884.0,64884.0,53266.0,1,11618.0
60070,True,66765.0,66765.0,65582.0,1,1183.0
60070,False,64370.0,64370.0,57022.0,1,7348.0
60071,True,56611.0,56611.0,38160.0,1,18451.0
60071,False,53604.0,53604.0,35477.0,1,18127.0
60072,True,48443.0,48443.0,39775.0,1,8668.0
60072,False,48978.0,48978.0,44338.0,1,4640.0
60073,True,30214.0,30214.0,13572.0,1,16642.0
60073,False,30375.0,30375.0,15982.0,1,14393.0
60074,True,69830.0,69830.0,66276.0,1,3554.0
60074,False,80662.0,80662.0,72379.0,1,8283.0
60075,True,50832.0,50832.0,42534.0,1,8298.0
60075,False,41512.0,41512.0,17192.0,1,24320.0
60076,True,40651.0,40651.0,31805.0,1,8846.0
60076,False,44251.0,44251.0,42304.0,1,1947.0
60077,True,48281.0,48281.0,25597.0,1,22684.0
60077,False,47212.0,47212.0,38099.0,1,9113.0
60078,True,70026.0,70026.0,63223.0,1,6803.0
60078,False,58420.0,58420.0,50137.0,1,8283.0
60079,True,68877.0,68877.0,64224.0,1,4653.0
60079,False,91330.0,91330.0,83978.0,1,7352.0
60080,True,59891.0,59891.0,58385.0,1,1506.0
60080,False,23795.0,23795.0,7148.0,1,16647.0
60081,True,52093.0,52093.0,34151.0,1,17942.0
60081,False,47879.0,47879.0,25080.0,1,22799.0
60082,True,34710.0,34710.0,24761.0,1,9949.0
