opponent,seed,cand_is_p0,cand_score,opp_score,won,tied,lost,delta,structural_failure
v025_a_aggressive_cows,10000,True,46490.0,42394.0,1,0,0,4096.0,0
v025_a_aggressive_cows,10000,False,60326.0,51298.0,1,0,0,9028.0,0
v025_a_aggressive_cows,10001,True,41279.0,25533.0,1,0,0,15746.0,0
v025_a_aggressive_cows,10001,False,48047.0,40980.0,1,0,0,7067.0,0
v025_a_aggressive_cows,10002,True,91414.0,91028.0,1,0,0,386.0,0
v025_a_aggressive_cows,10002,False,93712.0,101619.0,0,0,1,-7907.0,0
v025_a_aggressive_cows,10003,True,50723.0,26173.0,1,0,0,24550.0,0
v025_a_aggressive_cows,10003,False,57532.0,42387.0,1,0,0,15145.0,0
v025_a_aggressive_cows,10004,True,47794.0,31730.0,1,0,0,16064.0,0
v025_a_aggressive_cows,10004,False,45688.0,27857.0,1,0,0,17831.0,0
v025_a_aggressive_cows,10005,True,94538.0,94208.0,1,0,0,330.0,0
v025_a_aggressive_cows,10005,False,97902.0,97868.0,1,0,0,34.0,0
v025_a_aggressive_cows,10006,True,35971.0,34418.0,1,0,0,1553.0,0
v025_a_aggressive_cows,10006,False,76414.0,78553.0,0,0,1,-2139.0,0
v025_a_aggressive_cows,10007,True,60072.0,53407.0,1,0,0,6665.0,0
v025_a_aggressive_cows,10007,False,49038.0,26765.0,1,0,0,22273.0,0
v025_a_aggressive_cows,10008,True,52027.0,43616.0,1,0,0,8411.0,0
v025_a_aggressive_cows,10008,False,50710.0,46675.0,1,0,0,4035.0,0
v025_a_aggressive_cows,10009,True,50848.0,41720.0,1,0,0,9128.0,0
v025_a_aggressive_cows,10009,False,47821.0,41039.0,1,0,0,6782.0,0
v025_a_aggressive_cows,10010,True,48979.0,39356.0,1,0,0,9623.0,0
v025_a_aggressive_cows,10010,False,49472.0,30382.0,1,0,0,19090.0,0
v025_a_aggressive_cows,10011,True,39634.0,23029.0,1,0,0,16605.0,0
v025_a_aggressive_cows,10011,False,37849.0,21594.0,1,0,0,16255.0,0
v025_a_aggressive_cows,10012,True,46197.0,27759.0,1,0,0,18438.0,0
v025_a_aggressive_cows,10012,False,34037.0,20138.0,1,0,0,13899.0,0
v025_a_aggressive_cows,10013,True,51893.0,42558.0,1,0,0,9335.0,0
v025_a_aggressive_cows,10013,False,79478.0,70652.0,1,0,0,8826.0,0
v025_a_aggressive_cows,10014,True,43062.0,32839.0,1,0,0,10223.0,0
v025_a_aggressive_cows,10014,False,31622.0,17856.0,1,0,0,13766.0,0
v025_a_aggressive_cows,10015,True,58282.0,36909.0,1,0,0,21373.0,0
v025_a_aggressive_cows,10015,False,86406.0,81618.0,1,0,0,4788.0,0
v025_a_aggressive_cows,10016,True,90145.0,90255.0,0,0,1,-110.0,0
v025_a_aggressive_cows,10016,False,70228.0,60357.0,1,0,0,9871.0,0
v025_a_aggressive_cows,10017,True,47297.0,44829.0,1,0,0,2468.0,0
v025_a_aggressive_cows,10017,False,55681.0,45070.0,1,0,0,10611.0,0
v025_a_aggressive_cows,10018,True,55197.0,45208.0,1,0,0,9989.0,0
v025_a_aggressive_cows,10018,False,48111.0,41647.0,1,0,0,6464.0,0
v025_a_aggressive_cows,10019,True,46563.0,35381.0,1,0,0,11182.0,0
v025_a_aggressive_cows,10019,False,49064.0,31515.0,1,0,0,17549.0,0
v025_a_aggressive_cows,10020,True,34353.0,22066.0,1,0,0,12287.0,0
v025_a_aggressive_cows,10020,False,32711.0,23238.0,1,0,0,9473.0,0
v025_a_aggressive_cows,10021,True,61676.0,52217.0,1,0,0,9459.0,0
v025_a_aggressive_cows,10021,False,63214.0,53141.0,1,0,0,10073.0,0
v025_a_aggressive_cows,10022,True,53727.0,43505.0,1,0,0,10222.0,0
v025_a_aggressive_cows,10022,False,57821.0,40902.0,1,0,0,16919.0,0
v025_a_aggressive_cows,10023,True,56406.0,45909.0,1,0,0,10497.0,0
v025_a_aggressive_cows,10023,False,64524.0,49533.0,1,0,0,14991.0,0
v025_a_aggressive_cows,10024,True,45717.0,32519.0,1,0,0,13198.0,0
v025_a_aggressive_cows,10024,False,27991.0,25286.0,1,0,0,2705.0,0
v025_a_aggressive_cows,10025,True,57304.0,49195.0,1,0,0,8109.0,0
v025_a_aggressive_cows,10025,False,55695.0,35518.0,1,0,0,20177.0,0
v025_a_aggressive_cows,10026,True,58217.0,41629.0,1,0,0,16588.0,0
v025_a_aggressive_cows,10026,False,45017.0,32692.0,1,0,0,12325.0,0
v025_a_aggressive_cows,10027,True,57553.0,51036.0,1,0,0,6517.0,0
v025_a_aggressive_cows,10027,False,50165.0,27672.0,1,0,0,22493.0,0
v025_a_aggressive_cows,10028,True,48495.0,36436.0,1,0,0,12059.0,0
v025_a_aggressive_cows,10028,False,52779.0,42511.0,1,0,0,10268.0,0
v025_a_aggressive_cows,10029,True,47167.0,37524.0,1,0,0,9643.0,0
v025_a_aggressive_cows,10029,False,45792.0,32670.0,1,0,0,13122.0,0
v025_a_aggressive_cows,10030,True,42294.0,34398.0,1,0,0,7896.0,0
v025_a_aggressive_cows,10030,False,38798.0,25834.0,1,0,0,12964.0,0
v025_a_aggressive_cows,10031,True,54583.0,32160.0,1,0,0,22423.0,0
v025_a_aggressive_cows,10031,False,92242.0,89010.0,1,0,0,3232.0,0
v025_a_aggressive_cows,10032,True,78658.0,69690.0,1,0,0,8968.0,0
v025_a_aggressive_cows,10032,False,58872.0,51200.0,1,0,0,7672.0,0
v025_a_aggressive_cows,10033,True,50378.0,43939.0,1,0,0,6439.0,0
v025_a_aggressive_cows,10033,False,56219.0,41775.0,1,0,0,14444.0,0
v025_a_aggressive_cows,10034,True,58374.0,44192.0,1,0,0,14182.0,0
v025_a_aggressive_cows,10034,False,63864.0,50789.0,1,0,0,13075.0,0
v025_a_aggressive_cows,10035,True,70370.0,66835.0,1,0,0,3535.0,0
v025_a_aggressive_cows,10035,False,76565.0,77216.0,0,0,1,-651.0,0
v025_a_aggressive_cows,10036,True,87221.0,90790.0,0,0,1,-3569.0,0
v025_a_aggressive_cows,10036,False,56952.0,55736.0,1,0,0,1216.0,0
v025_a_aggressive_cows,10037,True,79023.0,76363.0,1,0,0,2660.0,0
v025_a_aggressive_cows,10037,False,52493.0,44969.0,1,0,0,7524.0,0
v025_a_aggressive_cows,10038,True,49790.0,41375.0,1,0,0,8415.0,0
v025_a_aggressive_cows,10038,False,49896.0,47804.0,1,0,0,2092.0,0
v025_a_aggressive_cows,10039,True,48709.0,41682.0,1,0,0,7027.0,0
v025_a_aggressive_cows,10039,False,48298.0,45844.0,1,0,0,2454.0,0
v025_a_aggressive_cows,10040,True,78011.0,81332.0,0,0,1,-3321.0,0
v025_a_aggressive_cows,10040,False,70115.0,68723.0,1,0,0,1392.0,0
v025_a_aggressive_cows,10041,True,32338.0,32318.0,1,0,0,20.0,0
v025_a_aggressive_cows,10041,False,50597.0,46411.0,1,0,0,4186.0,0
v025_a_aggressive_cows,10042,True,39580.0,23548.0,1,0,0,16032.0,0
v025_a_aggressive_cows,10042,False,35467.0,12816.0,1,0,0,22651.0,0
v025_a_aggressive_cows,10043,True,35785.0,18036.0,1,0,0,17749.0,0
v025_a_aggressive_cows,10043,False,58068.0,47875.0,1,0,0,10193.0,0
v025_a_aggressive_cows,10044,True,49496.0,40293.0,1,0,0,9203.0,0
v025_a_aggressive_cows,10044,False,70590.0,65956.0,1,0,0,4634.0,0
v025_a_aggressive_cows,10045,True,53370.0,38315.0,1,0,0,15055.0,0
v025_a_aggressive_cows,10045,False,72818.0,69761.0,1,0,0,3057.0,0
v025_a_aggressive_cows,10046,True,48787.0,40429.0,1,0,0,8358.0,0
v025_a_aggressive_cows,10046,False,49240.0,42625.0,1,0,0,6615.0,0
v025_a_aggressive_cows,10047,True,48329.0,30044.0,1,0,0,18285.0,0
v025_a_aggressive_cows,10047,False,45552.0,26112.0,1,0,0,19440.0,0
v025_a_aggressive_cows,10048,True,52068.0,31969.0,1,0,0,20099.0,0
v025_a_aggressive_cows,10048,False,45692.0,42421.0,1,0,0,3271.0,0
v025_a_aggressive_cows,10049,True,57715.0,51870.0,1,0,0,5845.0,0
v025_a_aggressive_cows,10049,False,57752.0,52543.0,1,0,0,5209.0,0
v025_a_aggressive_cows,10050,True,43775.0,30554.0,1,0,0,13221.0,0
v025_a_aggressive_cows,10050,False,50443.0,41115.0,1,0,0,9328.0,0
v025_a_aggressive_cows,10051,True,59943.0,48432.0,1,0,0,11511.0,0
v025_a_aggressive_cows,10051,False,54009.0,32314.0,1,0,0,21695.0,0
v025_a_aggressive_cows,10052,True,87172.0,87539.0,0,0,1,-367.0,0
v025_a_aggressive_cows,10052,False,75583.0,76303.0,0,0,1,-720.0,0
v025_a_aggressive_cows,10053,True,47941.0,28882.0,1,0,0,19059.0,0
v025_a_aggressive_cows,10053,False,51786.0,48077.0,1,0,0,3709.0,0
v025_a_aggressive_cows,10054,True,71805.0,57397.0,1,0,0,14408.0,0
v025_a_aggressive_cows,10054,False,78341.0,68905.0,1,0,0,9436.0,0
v025_a_aggressive_cows,10055,True,78247.0,75090.0,1,0,0,3157.0,0
v025_a_aggressive_cows,10055,False,80865.0,84113.0,0,0,1,-3248.0,0
v025_a_aggressive_cows,10056,True,48334.0,31199.0,1,0,0,17135.0,0
v025_a_aggressive_cows,10056,False,46464.0,29057.0,1,0,0,17407.0,0
